"Mod","SourceFile","EntityType","Key","MissingKey","MissingDescKey","DescKey","Status"
"7D1.0_Izayo_Visible_FPV_Gloves_mod","Config\buffs.xml","buff","IZYBeltAmmoCheck_01","True","False","","missing_name"
"7D1.0_Izayo_Visible_FPV_Gloves_mod","Config\buffs.xml","buff","IZYBeltAmmoCheck_02","True","False","","missing_name"
"7D1.0_Izayo_Visible_FPV_Gloves_mod","Config\buffs.xml","buff","IZYGlovesEffect","True","False","","missing_name"
"7D1.0_Izayo_Visible_FPV_Gloves_mod","Config\buffs.xml","buff","RefreshHand","True","False","","missing_name"
"7D1.0_Izayo_Visible_FPV_Gloves_mod","Config\buffs.xml","buff","WearingArmorBlackLeather","True","False","","missing_name"
"7D1.0_Izayo_Visible_FPV_Gloves_mod","Config\buffs.xml","buff","WearingArmorBrownLeather","True","False","","missing_name"
"7D1.0_Izayo_Visible_FPV_Gloves_mod","Config\buffs.xml","buff","WearingArmorDarkLeather","True","False","","missing_name"
"7D1.0_Izayo_Visible_FPV_Gloves_mod","Config\buffs.xml","buff","WearingLower","True","False","","missing_name"
"Locks","Config\items.xml","item","LockLoadingHack","True","True","LockLoadingHackDesc","missing_name_and_desc"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT1ARAKM","False","True","RBgunT1ARAKMDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT1ARFNFALrifle","False","True","RBgunT1ARFNFALrifleDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT1HandgunPistolAP85","False","True","RBgunT1HandgunPistolAP85Desc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT1SniperRifleHuntingRifle","False","True","RBgunT1SniperRifleHuntingRifleDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT2ARG3rifle","False","True","RBgunT2ARG3rifleDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT2HandgunPistolMagnumSuperLuger44","False","True","RBgunT2HandgunPistolMagnumSuperLuger44Desc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT2HandgunPistolP350","False","True","RBgunT2HandgunPistolP350Desc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3ARG36rifle","False","True","RBgunT3ARG36rifleDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3ARM16Rifle","False","True","RBgunT3ARM16RifleDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3ARMK18Rifle","False","True","RBgunT3ARMK18RifleDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3DualHandgunPistolMagnumDesertEagles","False","True","RBgunT3DualHandgunPistolMagnumDesertEaglesDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3DualHandgunPistolMagnumRevolver44","False","True","RBgunT3DualHandgunPistolMagnumRevolver44Desc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3HandgunPistolGlock17G17","False","True","RBgunT3HandgunPistolGlock17G17Desc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3HandgunPistolMagnumRevolver44","False","True","RBgunT3HandgunPistolMagnumRevolver44Desc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3ShotgunPumpShotgun","False","True","RBgunT3ShotgunPumpShotgunDesc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT3SMGMP5","False","True","RBgunT3SMGMP5Desc","missing_desc_only"
"Rebirth_Weapon_Resource","Config\items.xml","item","RBgunT4ShotgunAutoshotgunM4","False","True","RBgunT4ShotgunAutoshotgunM4Desc","missing_desc_only"
"TheDescent-cave-assets","Config\blocks.xml","block","humanBones01","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanBones02","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanBones03","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanBones04","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanBones05","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton01","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton02","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton03","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton04","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton05","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton06","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton07","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton08","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton09","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton10","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkeleton11","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkull01","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkull02","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkull03","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","humanSkullPile01","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalactite01","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalactite02","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalactite03","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalactite04","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalactite05","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalactite06","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalactite07","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalactite08","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite01","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite02","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite03","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite04","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite05","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite06","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite07","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite08","True","False","","missing_name"
"TheDescent-cave-assets","Config\blocks.xml","block","stalagmite09","True","False","","missing_name"
"TheDescent-cave-assets","Config\items.xml","item","armyMedal01","True","True","armyMedal01Desc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","armyMedal02","True","True","armyMedal02Desc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","armyMedal03","True","True","armyMedal03Desc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","armyMedal04","True","True","armyMedal04Desc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","armyMedal05","True","True","armyMedal05Desc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","armyMedalCollection","True","True","armyMedalCollectionDesc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","bookCaversGuide","True","True","bookCaversGuideDesc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","coin01","True","True","coin01Desc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","coin02","True","True","coin02Desc","missing_name_and_desc"
"TheDescent-cave-assets","Config\items.xml","item","coin03","True","True","coin03Desc","missing_name_and_desc"
